layer,neuron,activation,dropout,optimizer,learning rate,L1/L2,momentum,r2_error
6,40,relu,0.2,SGD,0.001,0,0.9,0.695109936
6,40,relu,0.2,SGD,0.001,1.00E-05,0.9,0.694359922
6,40,relu,0.2,SGD,0.0005,0,0.9,0.63751861
6,40,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.685104898
6,40,tanh,0.2,SGD,0.01,0,0.9,0.496020889
6,40,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.609282953
6,40,tanh,0.2,SGD,0.001,0,0.9,0.663189586
6,40,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.676184014
6,40,tanh,0.2,SGD,0.0005,0,0.9,0.664675647
6,40,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.663914417
6,40,relu,0.4,SGD,0.01,0,0.9,-0.102551327
6,40,relu,0.4,SGD,0.01,1.00E-05,0.9,0.625437371
6,40,relu,0.4,SGD,0.001,0,0.9,0.404855922
6,40,relu,0.4,SGD,0.001,1.00E-05,0.9,0.504060187
6,40,relu,0.4,SGD,0.0005,0,0.9,0.613125708
6,40,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.566194545
6,40,tanh,0.4,SGD,0.01,0,0.9,0.447564192
6,40,tanh,0.4,SGD,0.01,1.00E-05,0.9,-0.2198904
6,40,tanh,0.4,SGD,0.001,0,0.9,-0.043445396
6,40,tanh,0.4,SGD,0.001,1.00E-05,0.9,-0.065605361
6,40,tanh,0.4,SGD,0.0005,0,0.9,0.484300703
6,40,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.452060774
6,80,relu,0.2,SGD,0.01,0,0.9,0.769220159
6,80,relu,0.2,SGD,0.01,1.00E-05,0.9,0.644619735
6,80,relu,0.2,SGD,0.001,0,0.9,0.721745672
6,80,relu,0.2,SGD,0.001,1.00E-05,0.9,0.7261063
6,80,relu,0.2,SGD,0.0005,0,0.9,0.714529802
6,80,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.710424017
6,80,tanh,0.2,SGD,0.01,0,0.9,0.608333741
6,80,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.662237213
6,80,tanh,0.2,SGD,0.001,0,0.9,0.646542591
6,80,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.647215804
6,80,tanh,0.2,SGD,0.0005,0,0.9,0.659745532
6,80,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.664898119
6,80,relu,0.4,SGD,0.01,0,0.9,0.666454621
6,80,relu,0.4,SGD,0.01,1.00E-05,0.9,0.729487255
6,80,relu,0.4,SGD,0.001,0,0.9,0.684688594
6,80,relu,0.4,SGD,0.001,1.00E-05,0.9,0.662345451
6,80,relu,0.4,SGD,0.0005,0,0.9,0.638524155
6,80,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.650770125
6,80,tanh,0.4,SGD,0.01,0,0.9,0.297615967
6,80,tanh,0.4,SGD,0.01,1.00E-05,0.9,-1.749229836
6,80,tanh,0.4,SGD,0.001,0,0.9,0.189060228
6,80,tanh,0.4,SGD,0.001,1.00E-05,0.9,0.31310076
6,80,tanh,0.4,SGD,0.0005,0,0.9,0.414436466
6,80,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.458553928
6,120,relu,0.2,SGD,0.01,0,0.9,0.726772769
6,120,relu,0.2,SGD,0.01,1.00E-05,0.9,0.782521509
6,120,relu,0.2,SGD,0.001,0,0.9,0.728090209
6,120,relu,0.2,SGD,0.001,1.00E-05,0.9,0.736228406
6,120,relu,0.2,SGD,0.0005,0,0.9,0.707215144
6,120,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.716579901
6,120,tanh,0.2,SGD,0.01,0,0.9,0.642220408
6,120,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.659443507
6,120,tanh,0.2,SGD,0.001,0,0.9,0.641129207
6,120,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.662242601
6,120,tanh,0.2,SGD,0.0005,0,0.9,0.639122383
